Title,Release Year,Locations,Production Company,Director,Writer,Actor 1
A Jitney Elopement,1915,20th and Folsom Streets,The Essanay Film Manufacturing Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
A Jitney Elopement,1915,Golden Gate Park,The Essanay Film Manufacturing Company,Charles Chaplin,Charles Chaplin,Charles Chaplin
Greed,1924,Cliff House (1090 Point Lobos Avenue),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
Greed,1924,Bush and Sutter Streets,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
Greed,1924,Hayes Street at Laguna,Metro-Goldwyn-Mayer (MGM),Eric von Stroheim,Eric von Stroheim,Zasu Pitts
The Jazz Singer,1927,Coffee Dan's (O'Farrell Street at Powell),Warner Bros. Pictures,Alan Crosland,Alfred A. Cohn,Al Jolson
After the Thin Man,1936,Coit Tower,Metro-Goldwyn Mayer,W.S. Van Dyke,Frances Goodrich,William Powell
San Francisco,1936,The Barbary Coast,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable
San Francisco,1936,City Hall,Metro-Goldwyn Mayer,W.S. Van Dyke,Anita Loos,Clark Gable
Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Alexander's Ragtime Band,1938,San Francisco Bay,Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Alexander's Ragtime Band,1938,"Fairmont Hotel (950 Mason Street, Nob Hill)",Twentieth Century Fox Film Corporation,Henry King,Kathryn Scola,Tyrone Power
Shadow of the Thin Man,1941,Bay Bridge,Metro-Goldwyn Mayer,W.S. Van Dyke,Harry Kurnitz,William Powell
The Maltese Falcon,1941,Golden Gate Bridge,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
The Maltese Falcon,1941,Ferry Building,Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)",Warner Bros. Pictures,John Huston,John Huston,Humphrey Bogart
Gentleman Jim,1942,The Barbary Coast,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn
Dark Passage,1947,Golden Gate Bridge,Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart
Dark Passage,1947,The Malloch Apartment Building (1360 Montgomery Street),Warner Bros. Pictures,Delmer Daves,Delmer Daves & David Goodis,Humphrey Bogart
